Genero,Popularidad_TMDb,Calificacion_Promedio_TMDb,Conteo
Drama,76.389,8.39,8
Crime,71.416,8.39,6
Thriller,73.003,8.35,2
Sci-Fi & Fantasy,89.2925,8.5,2
Comedy,85.128,8.5,1
Romance,85.128,8.5,1
Mystery,95.632,8.6,1
Action & Adventure,82.953,8.4,1
