Title,Date,Title_Cleaned_For_API,tmdb_id,tmdb_title,tmdb_original_title,tmdb_overview,tmdb_genres,tmdb_popularity,tmdb_vote_average,tmdb_vote_count,tmdb_media_type,tmdb_release_date,tmdb_runtime_minutes
Easy: Temporada 1: El maldito estudio,2023-12-25,Easy,67780.0,Easy,Easy,"This eclectic, star-studded anthology follows diverse Chicagoans fumbling through the modern maze of love, sex, technology and culture. First dates, friends with benefits, couples with kids. Whatever your relationship status is, it's always complicated.","Comedy, Drama",10.244,6.091,148.0,tv,2016-09-22,30.0
La ley de los audaces: Temporada 9: El último engaño,2023-12-25,La ley de los audaces,37680.0,Suits,Suits,"While running from a drug deal gone bad, Mike Ross, a brilliant young college-dropout, slips into a job interview with one of New York City's best legal closers, Harvey Specter. Tired of cookie-cutter law school grads, Harvey takes a gamble by hiring Mike on the spot after he recognizes his raw talent and photographic memory.",Drama,95.4531,8.224,5264.0,tv,2011-06-23,42.0
La ley de los audaces: Temporada 9: Explotar,2023-12-25,La ley de los audaces,37680.0,Suits,Suits,"While running from a drug deal gone bad, Mike Ross, a brilliant young college-dropout, slips into a job interview with one of New York City's best legal closers, Harvey Specter. Tired of cookie-cutter law school grads, Harvey takes a gamble by hiring Mike on the spot after he recognizes his raw talent and photographic memory.",Drama,95.4531,8.224,5264.0,tv,2011-06-23,42.0
La ley de los audaces: Temporada 9: El dilema del prisionero,2023-12-25,La ley de los audaces,37680.0,Suits,Suits,"While running from a drug deal gone bad, Mike Ross, a brilliant young college-dropout, slips into a job interview with one of New York City's best legal closers, Harvey Specter. Tired of cookie-cutter law school grads, Harvey takes a gamble by hiring Mike on the spot after he recognizes his raw talent and photographic memory.",Drama,95.4531,8.224,5264.0,tv,2011-06-23,42.0
La ley de los audaces: Temporada 9: La ruta panorámica,2023-12-25,La ley de los audaces,37680.0,Suits,Suits,"While running from a drug deal gone bad, Mike Ross, a brilliant young college-dropout, slips into a job interview with one of New York City's best legal closers, Harvey Specter. Tired of cookie-cutter law school grads, Harvey takes a gamble by hiring Mike on the spot after he recognizes his raw talent and photographic memory.",Drama,95.4531,8.224,5264.0,tv,2011-06-23,42.0
La ley de los audaces: Temporada 9: Lo que sea necesario,2023-12-25,La ley de los audaces,37680.0,Suits,Suits,"While running from a drug deal gone bad, Mike Ross, a brilliant young college-dropout, slips into a job interview with one of New York City's best legal closers, Harvey Specter. Tired of cookie-cutter law school grads, Harvey takes a gamble by hiring Mike on the spot after he recognizes his raw talent and photographic memory.",Drama,95.4531,8.224,5264.0,tv,2011-06-23,42.0
La ley de los audaces: Temporada 9: Si te queda el zapato...,2023-12-25,La ley de los audaces,37680.0,Suits,Suits,"While running from a drug deal gone bad, Mike Ross, a brilliant young college-dropout, slips into a job interview with one of New York City's best legal closers, Harvey Specter. Tired of cookie-cutter law school grads, Harvey takes a gamble by hiring Mike on the spot after he recognizes his raw talent and photographic memory.",Drama,95.4531,8.224,5264.0,tv,2011-06-23,42.0
La ley de los audaces: Temporada 9: El Cairo,2023-12-24,La ley de los audaces,37680.0,Suits,Suits,"While running from a drug deal gone bad, Mike Ross, a brilliant young college-dropout, slips into a job interview with one of New York City's best legal closers, Harvey Specter. Tired of cookie-cutter law school grads, Harvey takes a gamble by hiring Mike on the spot after he recognizes his raw talent and photographic memory.",Drama,95.4531,8.224,5264.0,tv,2011-06-23,42.0
La ley de los audaces: Temporada 9: Molino de viento,2023-12-24,La ley de los audaces,37680.0,Suits,Suits,"While running from a drug deal gone bad, Mike Ross, a brilliant young college-dropout, slips into a job interview with one of New York City's best legal closers, Harvey Specter. Tired of cookie-cutter law school grads, Harvey takes a gamble by hiring Mike on the spot after he recognizes his raw talent and photographic memory.",Drama,95.4531,8.224,5264.0,tv,2011-06-23,42.0
La ley de los audaces: Temporada 9: Perito judicial,2023-12-24,La ley de los audaces,37680.0,Suits,Suits,"While running from a drug deal gone bad, Mike Ross, a brilliant young college-dropout, slips into a job interview with one of New York City's best legal closers, Harvey Specter. Tired of cookie-cutter law school grads, Harvey takes a gamble by hiring Mike on the spot after he recognizes his raw talent and photographic memory.",Drama,95.4531,8.224,5264.0,tv,2011-06-23,42.0
